codigo_uf,uf,ano,cobertura,vacina
17,Tocantins,2018,104.06,BCG
21,Maranhão,2018,105.11,BCG
22,Piauí,2018,97.9,BCG
23,Ceará,2018,104.89,BCG
24,Rio Grande do Norte,2018,107.7,BCG
25,Paraíba,2018,105.35,BCG
26,Pernambuco,2018,106.53,BCG
27,Alagoas,2018,112.92,BCG
28,Sergipe,2018,106.33,BCG
29,Bahia,2018,84.27,BCG
31,Minas Gerais,2018,100.85,BCG
32,Espírito Santo,2018,99.98,BCG
33,Rio de Janeiro,2018,105.72,BCG
35,São Paulo,2018,101.28,BCG
41,Paraná,2018,97.93,BCG
42,Santa Catarina,2018,92.72,BCG
43,Rio Grande do Sul,2018,90.98,BCG
50,Mato Grosso do Sul,2018,129.56,BCG
51,Mato Grosso,2018,106.14,BCG
52,Goiás,2018,93.58,BCG
53,Distrito Federal,2018,89.5,BCG
11,Rondônia,2019,88.11,BCG
12,Acre,2019,93.86,BCG
13,Amazonas,2019,93.27,BCG
14,Roraima,2019,115.88,BCG
15,Pará,2019,83.06,BCG
16,Amapá,2019,100.27,BCG
17,Tocantins,2019,112.41,BCG
21,Maranhão,2019,83.57,BCG
22,Piauí,2019,82.58,BCG
23,Ceará,2019,86.05,BCG
24,Rio Grande do Norte,2019,85.29,BCG
25,Paraíba,2019,94.9,BCG
26,Pernambuco,2019,92.07,BCG
27,Alagoas,2019,91.54,BCG
28,Sergipe,2019,85.41,BCG
29,Bahia,2019,78.05,BCG
31,Minas Gerais,2019,88.76,BCG
32,Espírito Santo,2019,90.1,BCG
33,Rio de Janeiro,2019,79.62,BCG
35,São Paulo,2019,83.78,BCG
41,Paraná,2019,91.19,BCG
42,Santa Catarina,2019,83.43,BCG
43,Rio Grande do Sul,2019,87.83,BCG
50,Mato Grosso do Sul,2019,114.25,BCG
51,Mato Grosso,2019,90.11,BCG
52,Goiás,2019,86.73,BCG
53,Distrito Federal,2019,93.24,BCG
11,Rondônia,2020,75.09,BCG
12,Acre,2020,71.81,BCG
13,Amazonas,2020,91.93,BCG
14,Roraima,2020,99.76,BCG
15,Pará,2020,72.9,BCG
16,Amapá,2020,90.67,BCG
